"V1","V2"
"1195854","1119"
"1195854","1119"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","5420"
"1195854","131143"
"1195854","131143"
"1195854","131143"
"1195854","131143"
"1195854","131143"
"1195854","131143"
"1195854","131143"
"1195854","131143"
"1195854","131143"
"1195854","131143"
"1195854","162"
"1195854","162"
"1195854","489785"
"1195854","583637"
"1195854","4009065"
"1195854","4009065"
"1195854","4009065"
"1195854","3685584"
"1195854","3685584"
"1195854","3685584"
"1195854","2711777"
"1195854","978762"
"1195854","978762"
"1195854","3597304"
"1195854","4183082"
"1195854","3477685"
"1195854","3477685"
"1195854","176325"
"1195854","289930"
"1195854","289930"
"1195854","1308348"
"1195854","1731516"
"1195854","3638646"
"900","5258"
"900","5258"
"900","5258"
"900","5258"
"900","5258"
"900","5258"
"900","5258"
"900","5258"
"900","5258"
"900","5258"
"900","5258"
"900","129898"
"900","129898"
"900","129898"
"900","129898"
"900","5420"
"900","74303"
"900","10957"
"900","106762"
"900","154024"
"900","154024"
"900","230116"
"900","401044"
"900","26060"
"900","268059"
"900","352645"
"900","279239"
"900","279239"
"900","279239"
"900","279239"
"900","279239"
"900","550224"
"900","653881"
"900","653881"
"900","653881"
"900","31442"
"900","31442"
"900","15333"
"900","15333"
"900","245448"
"900","3528231"
"900","314"
"900","209"
"900","137375"
"900","218"
"900","19625"
"900","19625"
"900","19625"
"900","102683"
"900","358671"
"900","9530"
"900","3321703"
"900","1897342"
"900","3437514"
"592540","1043"
"592540","5486"
"592540","44"
"592540","5420"
"592540","695093"
"592540","44034"
"592540","338884"
"592540","338884"
"592540","3593926"
"592540","3593926"
"592540","3593926"
"592540","469525"
"592540","22328"
"592540","22328"
"592540","22328"
"592540","22328"
"592540","22328"
"592540","295707"
"592540","489785"
"592540","1875521"
"592540","1875521"
"592540","1875521"
"592540","1875521"
"592540","3838763"
"592540","3838763"
"592540","3838763"
"592540","3838763"
"592540","3838763"
"592540","3838763"
"592540","3838763"
"592540","3838763"
"592540","3838763"
"592540","2346796"
"592540","3313988"
"592540","953610"
"592540","953610"
"592540","953610"
"592540","953610"
"592540","953610"
"592540","953610"
"592540","953610"
"592540","3675275"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","3510478"
"592540","702470"
"592540","702470"
"592540","702470"
"592540","39"
"592540","199524"
"592540","653026"
"592540","653026"
"592540","653026"
"592540","653026"
"592540","653026"
"592540","653026"
"592540","653026"
"592540","653026"
"592540","653026"
"592540","653026"
"592540","19986"
"592540","398411"
"592540","572244"
"592540","623434"
"592540","623434"
"592540","623434"
"592540","623434"
"592540","3979360"
"592540","3979360"
"592540","3979360"
"592540","3979360"
"592540","3979360"
"592540","3635095"
"592540","3450761"
"592540","716939"
"592540","716939"
"592540","3491517"
"592540","3621900"
"592540","3457401"
"592540","3457401"
"592540","3457401"
"592540","3457401"
"592540","3457401"
"592540","3786524"
"592540","748646"
"592540","3844424"
"592540","2248983"
"592540","3511087"
"592540","1046999"
"592540","1046999"
"592540","1279441"
"592540","3894424"
"592540","3894424"
"592540","3894424"
"592540","2637839"
"592540","2637839"
"592540","2637839"
"592540","3616604"
"592540","701187"
"592540","2250999"
"592540","2250999"
"592540","2250999"
"592540","2250999"
"592540","2250999"
"592540","1042159"
"592540","217713"
"592540","329961"
"592540","3743931"
"592540","3743931"
"592540","3697697"
"592540","1826796"
"592540","1826796"
"592540","1826796"
"592540","1826796"
"592540","1826796"
"592540","1826796"
"592540","1826796"
"592540","1826796"
"592540","1826796"
"592540","2337262"
"592540","1652125"
"592540","1652125"
"592540","3553644"
"592540","118395"
"592540","2022636"
"592540","2430234"
"592540","2430234"
"592540","1232601"
"592540","2991865"
"592540","1634429"
"592540","1634429"
"592540","2226295"
"592540","1957939"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2704623"
"592540","2820662"
"592540","2820662"
"592540","2820662"
"592540","2820662"
"592540","4112038"
"592540","3757632"
"592540","413192"
"592540","413192"
"592540","3507404"
"592540","3507404"
"592540","3507404"
"592540","3949974"
"592540","3949974"
"592540","2821844"
"592540","2821844"
"592540","2393672"
"592540","2238582"
"592540","2238582"
"592540","1542244"
"592540","1542244"
"592540","1542244"
"592540","1542244"
"592540","1542244"
"592540","3012123"
"592540","3012123"
"592540","3012123"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","3694418"
"592540","1779562"
"592540","3221906"
"592540","2758636"
"592540","352867"
"592540","352867"
"592540","3455803"
"592540","3455803"
"592540","1891590"
"592540","1294940"
"592540","3581779"
"592540","3581779"
"592540","3581779"
"592540","3581779"
"592540","2271172"
"592540","2271172"
"592540","2271172"
"592540","2271172"
"592540","2271172"
"592540","2271172"
"592540","1634327"
"592540","3461533"
"592540","3447430"
"592540","2848216"
"592540","3771373"
"592540","3771373"
"592540","3462128"
"592540","3462128"
"592540","3705611"
"592540","3705611"
"592540","3465069"
"592540","3068387"
"592540","3068387"
"592540","3601495"
"592540","3601495"
"592540","3601495"
"592540","3601495"
"592540","3601495"
"592540","3601495"
"592540","3488072"
"592540","3488072"
"592540","2942182"
"592540","1982792"
"592540","1982792"
"592540","1982792"
"592540","3475636"
"592540","3454917"
"592540","2051878"
"592540","2051878"
"592540","2051878"
"592540","2051878"
"592540","801119"
"592540","801119"
"592540","3456559"
"592540","3467742"
"592540","3582235"
"592540","3477685"
"592540","594928"
"592540","3518407"
"592540","3518407"
"592540","3518407"
"592540","3518407"
"592540","3518407"
"592540","3597265"
"592540","3496665"
"592540","3552437"
"592540","3552437"
"592540","3633216"
"592540","3633216"
"592540","3633216"
"592540","3633216"
"592540","3633216"
"592540","3633216"
"592540","2210029"
"592540","2210029"
"592540","2210029"
"592540","2210029"
"592540","2210029"
"592540","3466495"
"592540","3582998"
"592540","875133"
"592540","875133"
"592540","3469006"
"592540","2831961"
"592540","3597835"
"592540","3597835"
"592540","3557626"
"592540","3552904"
"592540","3552904"
"592540","3552904"
"592540","3552904"
"592540","3552904"
"592540","3552904"
"592540","3939109"
"592540","3482290"
"592540","3482290"
"592540","3482290"
"592540","3482290"
"592540","3482290"
"592540","3559263"
"592540","3559299"
"592540","3559299"
"592540","3559299"
"592540","3559299"
"592540","3559299"
"592540","3526883"
"592540","3526883"
"592540","3526883"
"592540","3554140"
"592540","3471042"
"592540","3866906"
"592540","3571403"
"592540","3571403"
"592540","3572669"
"592540","3668679"
"592540","3211140"
"592540","3494344"
"592540","3518741"
"592540","3518741"
"592540","3518741"
"592540","3518741"
"592540","3756037"
"592540","3756037"
"592540","3504411"
"592540","3504411"
"592540","3504411"
"592540","3512202"
"592540","3512202"
"592540","1025416"
"592540","1025416"
"592540","2030786"
"592540","3477887"
"592540","3477887"
"592540","3477887"
"592540","3637987"
"592540","3599701"
"592540","460577"
"592540","460577"
"592540","388143"
"592540","3738950"
"592540","3623840"
"592540","1685323"
"592540","1685323"
"592540","3588298"
"592540","3588298"
"592540","3588298"
"592540","3588298"
"592540","3588298"
"592540","3669304"
"592540","3654158"
"592540","3676771"
"592540","3656938"
"592540","3908373"
"592540","3908373"
"592540","3520024"
"592540","3607787"
"592540","3706771"
"592540","4086589"
"592540","4086589"
"592540","3617953"
"592540","3664589"
"592540","1718556"
"592540","3741782"
"592540","3741782"
"592540","3741782"
"592540","3790546"
"592540","3777840"
"592540","3777840"
"592540","3777840"
"592540","3777840"
"592540","3777840"
"592540","3777840"
"592540","3777840"
"592540","3643579"
"592540","3643579"
"592540","3643579"
"592540","3774708"
"592540","3702595"
"592540","3904840"
"592540","3525824"
"592540","3636817"
"592540","849424"
"592540","3945391"
"592540","3814871"
"592540","3828600"
"592540","3818159"
"592540","3487824"
"592540","3579355"
"592540","3739912"
"592540","3831941"
"592540","3507618"
"592540","3507618"
"592540","3515697"
"592540","3890539"
"592540","3890539"
"592540","3890539"
"592540","3890539"
"592540","3890539"
"592540","3890539"
"592540","3890539"
"592540","3890539"
"592540","3890539"
"592540","3865919"
"592540","3865919"
"592540","3912478"
"592540","3790109"
"592540","3559906"
"592540","3510966"
"592540","3510966"
"592540","3921022"
"592540","3743299"
"592540","3722258"
"592540","3857200"
"592540","3857200"
"592540","3857200"
"592540","3857200"
"592540","3575774"
"592540","3700889"
"592540","3428914"
"592540","3428914"
"592540","3428914"
"592540","3428914"
"592540","3428914"
"592540","3428914"
"592540","3428914"
"592540","3428914"
"592540","3428914"
"592540","3428914"
"592540","3781420"
"592540","3976224"
"592540","3976224"
"592540","3910105"
"592540","3910105"
"592540","3910105"
"592540","3969929"
"592540","3971295"
"592540","3815573"
"592540","4073463"
"592540","4050074"
"592540","4050074"
"592540","4050074"
"592540","4050074"
"592540","3937820"
"592540","4004310"
"592540","4004310"
"592540","3732550"
"592540","3732550"
"592540","378481"
"592540","521194"
"592540","400083"
"592540","742538"
"592540","960693"
"592540","960693"
"592540","960693"
"592540","973040"
"592540","989722"
"592540","1002042"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","983891"
"592540","1024803"
"592540","787071"
"592540","1137619"
"592540","1030495"
"592540","1030495"
"592540","1030495"
"592540","724799"
"592540","1158351"
"592540","1274560"
"592540","1274560"
"592540","1274560"
"592540","1274560"
"592540","1274560"
"592540","1284080"
"592540","1383389"
"592540","1394429"
"592540","1497185"
"592540","1497185"
"592540","1497185"
"592540","949797"
"592540","1853318"
"592540","182703"
"592540","2115584"
"592540","2115584"
"592540","1731516"
"592540","1731516"
"592540","1731516"
"592540","1731516"
"592540","1576922"
"592540","1957368"
"592540","1671460"
"592540","1671460"
"592540","1671460"
"592540","1752547"
"592540","2813590"
"592540","1118610"
"592540","261983"
"592540","261983"
"592540","261983"
"592540","2922730"
"592540","1409763"
"592540","1409763"
"592540","2412480"
"592540","3448894"
"592540","1636378"
"592540","2525860"
"592540","3447056"
"592540","1370159"
"592540","971080"
"592540","3462364"
"592540","3463878"
"592540","3468070"
"592540","3468070"
"592540","3468236"
"592540","724252"
"592540","449611"
"592540","449611"
"592540","1938280"
"592540","3452949"
"592540","3478331"
"592540","3464348"
"592540","3465732"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3471596"
"592540","3481319"
"592540","3490135"
"592540","3490135"
"592540","2795877"
"592540","3459053"
"592540","3458820"
"592540","3458820"
"592540","3458820"
"592540","3458820"
"592540","3495140"
"592540","2897098"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3489965"
"592540","3497637"
"592540","3136871"
"592540","3498410"
"592540","3481148"
"592540","3481148"
"592540","2027077"
"592540","351895"
"592540","351895"
"592540","351895"
"592540","351895"
"592540","351895"
"592540","351895"
"592540","3486469"
"592540","3506840"
"592540","3485307"
"592540","3508529"
"592540","3502767"
"592540","3502767"
"592540","3502767"
"592540","3491537"
"592540","3510821"
"592540","3516522"
"592540","3516522"
"592540","3516522"
"592540","601739"
"592540","1767662"
"592540","3526120"
"592540","3526120"
"592540","3499775"
"592540","901389"
"592540","3552416"
"592540","3552571"
"592540","3553077"
"592540","3553077"
"592540","3553077"
"592540","3463621"
"592540","3463621"
"592540","3463621"
"592540","3463621"
"592540","3463621"
"592540","3555747"
"592540","3555747"
"592540","3555747"
"592540","3555747"
"592540","3555747"
"592540","3555747"
"592540","3555747"
"592540","3555747"
"592540","3555747"
"592540","3495550"
"592540","3528148"
"592540","3528148"
"592540","3528148"
"592540","3528148"
"592540","3510392"
"592540","3565399"
"592540","190877"
"592540","3519558"
"592540","3519558"
"592540","3519558"
"592540","3519558"
"592540","3519558"
"592540","3484552"
"592540","3564284"
"592540","3456071"
"592540","3448211"
"592540","1841682"
"592540","3581689"
"592540","3573929"
"592540","3592326"
"592540","3555159"
"592540","3555159"
"592540","3555159"
"592540","3311351"
"592540","3584882"
"592540","3594871"
"592540","3594871"
"592540","3603275"
"592540","3604441"
"592540","3604441"
"592540","3595692"
"592540","3462482"
"592540","3596776"
"592540","3620484"
"592540","3621784"
"592540","3603931"
"592540","3518898"
"592540","3518898"
"592540","3518898"
"592540","3518898"
"592540","3557416"
"592540","448798"
"592540","3638492"
"592540","3502681"
"592540","3635238"
"592540","3669617"
"592540","3669092"
"592540","3673294"
"592540","3687728"
"592540","3687728"
"592540","3687728"
"592540","3693236"
"592540","3693236"
"592540","3664918"
"592540","3725711"
"592540","3523809"
"592540","3711689"
"592540","3721804"
"592540","3720625"
"592540","3738940"
"592540","3738940"
"592540","3738940"
"592540","3738940"
"592540","3521261"
"592540","3750135"
"592540","3750135"
"592540","3750135"
"592540","3750135"
"592540","3750135"
"592540","3788166"
"592540","3716687"
"592540","3716687"
"592540","3716687"
"592540","3716687"
"592540","3716687"
"592540","3716687"
"592540","3705909"
"592540","3768238"
"592540","3768238"
"592540","3768238"
"592540","3768238"
"592540","3794917"
"592540","3794917"
"592540","3794917"
"592540","3794917"
"592540","3676965"
"592540","3761561"
"592540","3738694"
"592540","3738694"
"592540","3738694"
"592540","3826680"
"592540","3827940"
"592540","3795452"
"592540","3795452"
"592540","3795452"
"592540","3735056"
"592540","3735056"
"592540","3730377"
"592540","3840045"
"592540","3829702"
"592540","3839848"
"592540","3831042"
"592540","3831042"
"592540","3727632"
"592540","3727632"
"592540","3847766"
"592540","3850268"
"592540","3850268"
"592540","3850268"
"592540","3850268"
"592540","3850268"
"592540","3850268"
"592540","3850268"
"592540","3850268"
"592540","3828540"
"592540","3704115"
"592540","3704115"
"592540","3704115"
"592540","3704115"
"592540","3861625"
"592540","3764284"
"592540","3764284"
"592540","3707268"
"592540","3707268"
"592540","3707268"
"592540","3707268"
"592540","3707268"
"592540","3707268"
"592540","3707268"
"592540","3887887"
"592540","3887887"
"592540","3887887"
"592540","3887887"
"592540","3773421"
"592540","3874400"
"592540","3902812"
"592540","3745210"
"592540","3685242"
"592540","3882293"
"592540","3882293"
"592540","3882293"
"592540","3882293"
"592540","3882293"
"592540","3907649"
"592540","3903201"
"592540","3883613"
"592540","3799446"
"592540","3799446"
"592540","3799446"
"592540","3796333"
"592540","3877665"
"592540","3877665"
"592540","3914849"
"592540","3895261"
"592540","3563849"
"592540","3924125"
"592540","3924125"
"592540","3520455"
"592540","3520455"
"592540","3925870"
"592540","3865785"
"592540","3865785"
"592540","3865785"
"592540","3925999"
"592540","3928076"
"592540","3774607"
"592540","3774607"
"592540","3774607"
"592540","3501365"
"592540","1459412"
"592540","3452601"
"592540","3932447"
"592540","3851788"
"592540","3851788"
"592540","3847167"
"592540","597623"
"592540","3941462"
"592540","3941462"
"592540","3926521"
"592540","3939654"
"592540","3943384"
"592540","3943384"
"592540","3943384"
"592540","3797637"
"592540","3928394"
"592540","3928394"
"592540","3950573"
"592540","3950596"
"592540","3928906"
"592540","3928906"
"592540","3928906"
"592540","3928906"
"592540","3872188"
"592540","3883973"
"592540","3873173"
"592540","3791508"
"592540","3866830"
"592540","3823788"
"592540","3823788"
"592540","3964570"
"592540","3964570"
"592540","3522860"
"592540","3907589"
"592540","3907589"
"592540","3907589"
"592540","3907589"
"592540","3907589"
"592540","3907589"
"592540","3973101"
"592540","3952229"
"592540","167695"
"592540","3969346"
"592540","3969346"
"592540","3961152"
"592540","3984872"
"592540","3984872"
"592540","3984872"
"592540","3831427"
"592540","3831427"
"592540","3987566"
"592540","3987566"
"592540","3988750"
"592540","829123"
"592540","3987360"
"592540","3994272"
"592540","3997484"
"592540","3946990"
"592540","3989395"
"592540","3584012"
"592540","3834353"
"592540","3634332"
"592540","3824719"
"592540","4040053"
"592540","4061731"
"592540","4060044"
"592540","4060044"
"592540","3773169"
"592540","3497064"
"592540","4031668"
"592540","4031668"
"592540","4085779"
"592540","4079581"
"592540","4079581"
"592540","4113031"
"592540","3915819"
"592540","3725080"
"592540","4051559"
"592540","4110285"
"592540","3956487"
"592540","4119485"
"592540","4137230"
"592540","4129220"
"592540","4126743"
"592540","4115723"
"592540","4110578"
"592540","4150974"
"592540","4154469"
"592540","3897977"
"592540","4126120"
"19","592540"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","1119"
"19","233990"
"19","702470"
"19","702470"
"19","613122"
"19","3280530"
"19","3468806"
"19","71"
"19","71"
"19","71"
"19","71"
"19","237233"
"19","378481"
"19","3377958"
"19","3461047"
"375481","3565914"
"1119","131313"
"1119","22328"
"1119","384040"
"1119","362790"
"1043","1119"
"1043","1119"
"1043","1119"
"1043","1119"
"1043","1119"
"1043","1119"
"1043","1119"
"1043","1065"
"1043","338884"
"1043","22328"
"1043","384040"
"1043","702470"
"1043","623434"
"1043","623434"
"1043","4605"
"1043","4605"
"1043","354644"
"1043","983891"
"1043","983891"
"1043","1274560"
"5486","1065"
"5486","1065"
"5486","1065"
"5486","563429"
"468","467"
"468","3004291"
"13642","413"
"44","3457401"
"44","2380592"
"44","400083"
"44","400083"
"44","2129314"
"44","3567727"
"44","3567727"
"183350","287094"
"183350","249151"
"183350","700"
"843","74303"
"843","74303"
"843","74303"
"843","275228"
"843","233957"
